"","Stats.M1","Stats.M2","pvalue_m1","pvalue_m2"
"k=2",-8.71667318200363,-5.60124779970087,2.86495601778837e-18,2.12814249392608e-08
"k=3",-9.32826189816003,-6.01432200218646,1.07621208657479e-20,1.80641128766345e-09
"k=4",-9.21488246262844,-5.96720076052187,3.11619519805833e-20,2.41358371609034e-09
"k=5",-8.39800149619433,-5.45012023141973,4.54141410924355e-17,5.03357793031911e-08
"k=7",-7.95864334697834,-5.17693750838327,1.73935807309611e-15,2.25557725251807e-07
"k=10",-6.96656020576389,-4.55495052312524,3.24783942883509e-12,5.23979098009815e-06
"k=14",-6.50926776060595,-4.29683427919235,7.55180086008013e-11,1.73254620632306e-05
"k=30",-4.80835095568993,-3.27822871087597,1.52180426578615e-06,0.00104460720607152
"k=365",-1.58173280501318,-1.24681996452664,0.113710580419958,0.212463518400935
