"","Stats.M1","Stats.M2","pvalue_m1","pvalue_m2"
"k=2",-3.35144352119349,-2.20613383754425,0.000803914353905291,0.0273746301144036
"k=3",-4.11594226191287,-2.6946253201966,3.85600833813331e-05,0.00704678216745842
"k=4",-4.01446655695567,-2.62387719056001,5.95803904010887e-05,0.00869351253248058
"k=5",-3.65215473829386,-2.3794037062129,0.000260049101676176,0.0173406729952157
"k=7",-3.80718457570816,-2.47338007628237,0.000140557841090242,0.0133841715745942
"k=10",-3.93127551308857,-2.55935132822239,8.44963722465325e-05,0.0104867700528899
"k=14",-4.03317026457283,-2.6493036600918,5.50293775524675e-05,0.00806578234154942
"k=30",-3.62113231930935,-2.46405656936482,0.00029331644173916,0.0137374428108601
"k=365",-1.58597124547018,-1.30574888029554,0.112745832522122,0.191637969379735
