"","lags","pvalue"
"1",1,6.5911702429311e-08
"2",2,4.36531517045147e-07
"3",3,7.85850929441168e-07
"4",4,2.81029743620653e-06
"5",5,9.29838983587672e-10
"6",6,2.43038755787239e-09
"7",7,1.81603732052338e-09
"8",10,3.81689913009353e-09
"9",14,2.43950615264055e-09
"10",30,4.16220391485922e-11
"11",90,2.4095991868478e-10
"12",365,2.13835726903255e-10
