"","lags","pvalue"
"1",1,2.85727362880905e-08
"2",2,4.37226860272588e-08
"3",3,2.04990181162934e-07
"4",4,1.71830699668973e-08
"5",5,6.05967901412541e-08
"6",6,1.80505116298413e-07
"7",7,5.79986220161643e-08
"8",10,3.56217857322427e-07
"9",14,2.19625320330152e-06
"10",30,6.90314563289718e-08
"11",90,1.52518783158584e-08
"12",365,1.72706293710689e-12
