"","lags","pvalue"
"1",1,0
"2",2,0
"3",3,0
"4",4,0
"5",5,0
"6",6,2.22044604925031e-16
"7",7,3.33066907387547e-16
"8",10,1.99840144432528e-15
"9",14,3.69704267200177e-14
"10",30,5.37936362121627e-11
"11",90,0
"12",365,3.33066907387547e-16
