"","lags","Q"
"1",2,1.73204701333496
"2",3,1.90290214603036
"3",4,2.04284277147742
"4",5,2.15416977661743
"5",7,2.36066892652453
"6",10,2.52792108437969
"7",14,2.68385625288645
"8",30,3.01374744563965
"9",365,3.38234650456484
