"","lags","pvalue"
"1",1,2.07232722493345e-06
"2",2,1.28272393736806e-05
"3",3,6.31907500991957e-06
"4",4,2.02125477342108e-05
"5",5,4.33439699132343e-06
"6",6,1.05472208944413e-05
"7",7,1.89312382351536e-05
"8",10,6.1784674567078e-05
"9",14,0.000336776601937094
"10",30,2.68710512274506e-06
"11",90,1.91833796736596e-07
"12",365,0.00623652917308126
