"","lags","pvalue"
"1",1,0.000133764501642153
"2",2,2.23791180820054e-06
"3",3,8.71123517165451e-06
"4",4,1.77576936341017e-05
"5",5,1.00410793557604e-05
"6",6,4.74035052577815e-06
"7",7,6.4626556528502e-07
"8",10,1.63783526074823e-06
"9",14,1.88871362993837e-10
"10",30,2.61148214164564e-09
"11",90,4.13956646738711e-11
"12",365,4.91914287081840e-11
