"","lags","pvalue"
"1",1,1.2342128286047e-07
"2",2,5.91512989256415e-07
"3",3,9.54590920754228e-08
"4",4,3.50049138120312e-07
"5",5,1.08437818968632e-06
"6",6,2.87986949842889e-06
"7",7,2.47644040762829e-06
"8",10,5.44097679799904e-07
"9",14,6.98585633784887e-09
"10",30,1.44678713454027e-11
"11",90,0
"12",365,0
