"","lags","pvalue"
"1",1,2.88724802954832e-08
"2",2,4.42274885603666e-08
"3",3,2.07294862053509e-07
"4",4,1.74602517999389e-08
"5",5,6.15509111456802e-08
"6",6,1.83293104472071e-07
"7",7,5.91379072378828e-08
"8",10,3.63694510507884e-07
"9",14,2.24811133164859e-06
"10",30,7.52706205142673e-08
"11",90,2.28914361910526e-08
"12",365,8.53019876956296e-11
